Date : 2022-05-06 06:52:58
Directory : e:\csci3100\avalanche\avalanche
Total : 137 files,  38695 codes, 1211 comments, 1075 blanks, all 40981 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\middleware\credentials.js                          | JavaScript         |          9 |          0 |          2 |         11 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\middleware\errorHandler.js                         | JavaScript         |          7 |          0 |          2 |          9 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\middleware\logEvents.js                            | JavaScript         |         23 |          0 |          7 |         30 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\middleware\verifyJWT.js                            | JavaScript         |         17 |          0 |          2 |         19 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\middleware\verifyRoles.js                          | JavaScript         |         10 |          0 |          1 |         11 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\model\Employee.js                                  | JavaScript         |         13 |          0 |          2 |         15 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\model\User.js                                      | JavaScript         |         45 |          0 |          2 |         47 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\model\employees.json                               | JSON               |         12 |          0 |          0 |         12 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\model\pending-users.js                             | JavaScript         |         45 |          0 |          2 |         47 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\model\pending-users.json                           | JSON               |          8 |          0 |          0 |          8 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\model\resetAccount.js                              | JavaScript         |         45 |          0 |          2 |         47 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\model\resetPassword.json                           | JSON               |          2 |          0 |          1 |          3 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\model\users.json                                   | JSON               |         18 |          0 |          0 |         18 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\model\usersDB.json                                 | JSON               |         20 |          0 |          0 |         20 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\package-lock.json                                  | JSON               |      5,956 |          0 |          1 |      5,957 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\package.json                                       | JSON               |         40 |          0 |          1 |         41 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\activate.js                                 | JavaScript         |          5 |          0 |          2 |          7 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\admin.js                                    | JavaScript         |         34 |          2 |          5 |         41 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\adminChangePassword.js                      | JavaScript         |          5 |          0 |          2 |          7 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\api\employees.js                            | JavaScript         |         13 |          0 |          3 |         16 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\api\game.js                                 | JavaScript         |          8 |          1 |          3 |         12 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\api\users.js                                | JavaScript         |         11 |          0 |          3 |         14 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\auth.js                                     | JavaScript         |          5 |          0 |          2 |          7 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\login.js                                    | JavaScript         |          5 |          0 |          2 |          7 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\logout.js                                   | JavaScript         |          5 |          0 |          2 |          7 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\refresh.js                                  | JavaScript         |          5 |          0 |          2 |          7 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\register.js                                 | JavaScript         |          5 |          0 |          2 |          7 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\reset-password.js                           | JavaScript         |          5 |          0 |          2 |          7 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\resetPasswordConfirmation.js                | JavaScript         |          5 |          0 |          2 |          7 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\root.js                                     | JavaScript         |          7 |          0 |          2 |          9 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\testEmail.js                                | JavaScript         |          5 |          0 |          3 |          8 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\userChangePassword.js                       | JavaScript         |          5 |          0 |          2 |          7 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\server.js                                          | JavaScript         |        151 |         24 |         49 |        224 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\server\word.js                                            | JavaScript         |      2,318 |          0 |          2 |      2,320 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\App.js                                                | JavaScript         |         60 |        112 |         45 |        217 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\api\axios.js                                          | JavaScript         |         10 |          0 |          2 |         12 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\Header.tsx                                 | TypeScript React   |         66 |         51 |         32 |        149 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\auth\Login.js                              | JavaScript         |         98 |         85 |         22 |        205 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\auth\Register.js                           | JavaScript         |        188 |          3 |         25 |        216 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\auth\RequireAuth.js                        | JavaScript         |         14 |          0 |          4 |         18 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\auth\confirmPwd.js                         | JavaScript         |        126 |          4 |         23 |        153 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\auth\resetPassword.js                      | JavaScript         |         72 |          2 |         13 |         87 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\context\AuthProvider.js                    | JavaScript         |         11 |          0 |          4 |         15 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\game\Tile.js                               | JavaScript         |         10 |          0 |          6 |         16 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\game\eventbus.js                           | JavaScript         |         12 |          0 |          1 |         13 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\game\game.css                              | CSS                |        239 |          0 |         38 |        277 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\game\game.js                               | JavaScript         |        204 |         12 |         23 |        239 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\game\keyboard.css                          | CSS                |         46 |          0 |          7 |         53 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\game\keyboard.js                           | JavaScript         |         74 |          3 |         17 |         94 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\game\multi\mserver.js                      | JavaScript         |         88 |         29 |         16 |        133 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\game\multi\multiGame.js                    | JavaScript         |        426 |         54 |         59 |        539 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\game\word.js                               | JavaScript         |     12,978 |          2 |          4 |     12,984 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\header\Setting.tsx                         | TypeScript React   |          8 |          0 |          9 |         17 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\header\Tutorial.tsx                        | TypeScript React   |         73 |          1 |         14 |         88 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\home\Home.js                               | JavaScript         |         53 |          1 |          6 |         60 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\home\HomePageNoLogin.js                    | JavaScript         |         35 |          6 |          7 |         48 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\hooks\useAuth.js                           | JavaScript         |          6 |          0 |          2 |          8 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\hooks\useAxiosPrivate.js                   | JavaScript         |         37 |          2 |          6 |         45 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\hooks\useRefreshToken.js                   | JavaScript         |         20 |          1 |          4 |         25 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\Layout.js                           | JavaScript         |         14 |          0 |          2 |         16 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\LinkPage.js                         | JavaScript         |         18 |          0 |          2 |         20 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\Lounge.js                           | JavaScript         |         14 |          0 |          2 |         16 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\RequireAuth.js                      | JavaScript         |         14 |          0 |          3 |         17 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\Unauthorized.js                     | JavaScript         |         16 |          0 |          4 |         20 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\admin.js                            | JavaScript         |         21 |          1 |          2 |         24 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\adminChangePw.js                    | JavaScript         |         86 |          2 |         15 |        103 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\editor.js                           | JavaScript         |         14 |          0 |          2 |         16 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\missing.js                          | JavaScript         |          9 |          0 |          3 |         12 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\refresh.js                          | JavaScript         |          0 |         35 |         12 |         47 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\setting.js                          | JavaScript         |        160 |        113 |         41 |        314 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\userList.js                         | JavaScript         |         60 |          2 |          8 |         70 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\index.css                                             | CSS                |        142 |        109 |         27 |        278 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\src\index.tsx                                             | TypeScript React   |         12 |         42 |          1 |         55 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\tailwind.config.js                                        | JavaScript         |          9 |          0 |          1 |         10 |
| e:\csci3100\avalanche\avalanche\code\wordle_war\tsconfig.json                                             | JSON with Comments |         26 |          0 |          1 |         27 |
| e:\csci3100\avalanche\avalanche\documentations\Development Guidelines.md                                  | Markdown           |         50 |          0 |         11 |         61 |
| e:\csci3100\avalanche\avalanche\documentations\Functionalities.md                                         | Markdown           |          2 |          0 |          0 |          2 |
| e:\csci3100\avalanche\avalanche\documentations\Roadmap.md                                                 | Markdown           |          2 |          0 |          0 |          2 |
| e:\csci3100\avalanche\avalanche\documentations\rating\spec.tex                                            | LaTeX              |         34 |          0 |         10 |         44 |
| e:\csci3100\avalanche\avalanche\package-lock.json                                                         | JSON               |          3 |          0 |          1 |          4 |
| Total                                                                                                     |                    |     38,695 |      1,211 |      1,075 |     40,981 |
+-----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
